id,province_th,district_th,sub_district_th,province_en,district_en,sub_district_en,latitude,longitude,lat_direction,lon_direction,lat_raw,lon_raw
1,กทม,คลองสาน,คลองต้นไทร,Bangkok,Khlong San,Khlong Ton Sai,13.716667,100.5,N,E,13.43N,100.30E
2,กทม,คลองสาน,คลองสาน,Bangkok,Khlong San,Khlong San,13.733333,100.5,N,E,13.44N,100.30E
3,กทม,คลองสาน,สมเด็จเจ้าพระยา,Bangkok,Khlong San,Somdet Chao Phraya,13.733333,100.5,N,E,13.44N,100.30E
4,กทม,คลองเตย,คลองตัน,Bangkok,Khlong Toei,Khlong Tan,13.733333,100.583333,N,E,13.44N,100.35E
5,กทม,คลองเตย,คลองเตย,Bangkok,Khlong Toei,Khlong Toei,13.716667,100.566667,N,E,13.43N,100.34E
6,กทม,คลองเตย,พระโขนง,Bangkok,Khlong Toei,Phra Khanong,13.716667,100.6,N,E,13.43N,100.36E
7,กทม,จตุจักร,ลาดยาว,Bangkok,Chatuchak,Lat Yao,13.816667,100.566667,N,E,13.49N,100.34E
8,กทม,จอมทอง,จอมทอง,Bangkok,Chom Thong,Chom Thong,13.683333,100.466667,N,E,13.41N,100.28E
9,กทม,จอมทอง,บางขุนเทียน,Bangkok,Chom Thong,Bang Khun Thian,13.7,100.45,N,E,13.42N,100.27E
10,กทม,จอมทอง,บางมด,Bangkok,Chom Thong,Bang Mot,13.666667,100.466667,N,E,13.40N,100.28E
11,กทม,ดอนเมือง,ตลาดบางเขน,Bangkok,Don Mueang,Talat Bang Khen,13.9,100.6,N,E,13.54N,100.36E
12,กทม,ดอนเมือง,ทุ่งสองห้อง,Bangkok,Don Mueang,Thung Song Hong,13.883333,100.566667,N,E,13.53N,100.34E
13,กทม,ดอนเมือง,สีกัน,Bangkok,Don Mueang,Si Kan,13.933333,100.583333,N,E,13.56N,100.35E
14,กทม,ดินแดง,ดินแดง,Bangkok,Din Daeng,Din Daeng,13.766667,100.566667,N,E,13.46N,100.34E
15,กทม,ดุสิต,ดุสิต,Bangkok,Dusit,Dusit,13.766667,100.516667,N,E,13.46N,100.31E
16,กทม,ดุสิต,ถนนนครไชยศรี,Bangkok,Dusit,Thanon Nakhon Chai Si,13.783333,100.533333,N,E,13.47N,100.32E
17,กทม,ดุสิต,วชิรพยาบาล,Bangkok,Dusit,Wachira Phayaban,13.783333,100.5,N,E,13.47N,100.30E
18,กทม,ดุสิต,สวนจิตรลดา,Bangkok,Dusit,Suan Chitlada,13.766667,100.516667,N,E,13.46N,100.31E
19,กทม,ดุสิต,สี่แยกมหานาค,Bangkok,Dusit,Si Yaek Maha Nak,13.75,100.516667,N,E,13.45N,100.31E
20,กทม,ตลิ่งชัน,คลองชักพระ,Bangkok,Taling Chan,Khlong Chak Phra,13.766667,100.45,N,E,13.46N,100.27E
21,กทม,ตลิ่งชัน,ฉิมพลี,Bangkok,Taling Chan,Chim Phli,13.783333,100.416667,N,E,13.47N,100.25E
22,กทม,ตลิ่งชัน,ตลิ่งชัน,Bangkok,Taling Chan,Taling Chan,13.783333,100.45,N,E,13.47N,100.27E
23,กทม,ตลิ่งชัน,ทวีวัฒนา,Bangkok,Taling Chan,Thawi Watthana,13.75,100.35,N,E,13.45N,100.21E
